ctry_text,id_j,civ,ses,priv,urba
Bulgaria,11110,464.9216,-0.02625000000000001,0,0
Bulgaria,11111,416.656,-1.058,0,0
Bulgaria,11112,410.10555555555555,-1.21,0,0
Bulgaria,11113,563.1803846153846,0.6107692307692307,0,0
Bulgaria,11114,472.81518518518516,-0.22333333333333333,0,0
Bulgaria,11115,601.8861111111111,0.8077777777777778,0,1
Bulgaria,11116,480.42611111111114,-0.3622222222222222,0,0
Bulgaria,11117,606.0966666666667,0.8854166666666666,0,0
Bulgaria,11118,370.64666666666665,-0.45666666666666667,0,0
Bulgaria,11119,481.3614285714286,-0.27714285714285714,1,NA
Bulgaria,11120,419.015625,-0.8466666666666667,0,0
Bulgaria,11121,456.6657142857143,-0.34714285714285714,0,0
Bulgaria,11122,439.2321052631579,-0.8394736842105263,0,0
Bulgaria,11123,379.865,-1.052,0,0
Bulgaria,11124,388.4866666666667,-0.554,0,0
Bulgaria,11125,584.2122727272728,0.6945454545454546,0,1
Bulgaria,11126,334.5341379310345,-1.5037931034482759,0,0
Bulgaria,11127,566.512,0.376,0,0
Bulgaria,11128,559.3584,0.15833333333333335,0,0
Bulgaria,11129,399.088,-1.1693333333333333,0,0
Bulgaria,11130,538.9225,0.43291666666666667,0,1
Bulgaria,11131,361.039,-1.105,0,0
Bulgaria,11132,330.82,-0.946923076923077,0,0
Bulgaria,11133,602.5230434782609,0.51,0,0
Bulgaria,11134,535.9166666666666,0.7104166666666667,0,1
Bulgaria,11135,467.4327272727273,-0.22272727272727272,0,0
Bulgaria,11136,425.8233333333333,-0.874,0,0
Bulgaria,11137,539.379,0.3465,0,0
Bulgaria,11138,615.0474193548387,1.206774193548387,0,1
Bulgaria,11139,412.7940740740741,-0.7122222222222222,0,1
Bulgaria,11140,433.4757142857143,-1.1985714285714286,0,0
Bulgaria,11141,498.5523076923077,-0.1976923076923077,0,0
Bulgaria,11142,450.16499999999996,0.08444444444444446,0,1
Bulgaria,11143,558.4204,0.22840000000000002,0,0
Bulgaria,11144,455.348,-0.14,0,0
Bulgaria,11145,478.36692307692306,0.38230769230769235,0,0
Bulgaria,11146,591.8364285714285,1.1621428571428571,0,1
Bulgaria,11147,394.40666666666664,-0.89,0,0
Chile,21001,576.6842857142857,1.9192857142857143,1,1
Chile,21002,475.22066666666666,-0.22482758620689655,1,1
Chile,21003,439.635,-0.753125,0,0
Chile,21004,434.7073076923077,-0.4238461538461538,1,0
Chile,21005,464.9664,0.2312,1,1
Chile,21006,510.06,0.0745,1,0
Chile,21007,356.14666666666665,-0.6243333333333333,0,0
Chile,21008,531.3323076923077,1.3515384615384616,NA,NA
Chile,21009,568.4525641025641,1.5682051282051281,1,1
Chile,21010,447.43,-0.8164705882352941,1,1
Chile,21011,469.99870967741936,-0.34838709677419355,0,1
Chile,21012,549.7624137931034,1.6879310344827587,1,0
Chile,21013,500.0069230769231,0.7076923076923077,NA,NA
Chile,21014,404.75625,-0.6954166666666667,0,0
Chile,21015,531.1466666666666,1.0707407407407408,1,1
Chile,21016,457.6227272727273,-0.8103125,0,0
Chile,21017,524.60725,0.37475,1,1
Chile,21018,521.5137037037038,-0.20153846153846156,NA,NA
Chile,21019,527.0782857142857,0.29352941176470587,1,1
Chile,21020,439.2733333333333,-0.46185185185185185,0,1
Chile,21021,514.9341666666667,1.18875,1,1
Chile,21022,428.9513636363636,-0.9595454545454546,0,0
Chile,21023,412.891,0.13724999999999998,1,1
Chile,21024,504.7122857142857,-0.32088235294117645,NA,NA
Chile,21025,482.4195238095238,0.23476190476190475,1,0
Chile,21026,531.5482051282052,0.7742105263157895,1,1
Chile,21027,533.2769444444444,-0.023055555555555562,1,1
Chile,21028,434.1102702702703,-0.6594285714285715,0,1
Chile,21029,437.0203846153846,-0.4924,0,1
Chile,21030,398.8755,-0.741,0,1
Chile,21031,408.1247619047619,-0.6847619047619048,0,1
Chile,21032,496.91648648648646,0.20305555555555554,1,1
Chile,21033,374.774375,-0.7509090909090909,NA,NA
Chile,21034,413.43333333333334,-0.5411111111111111,0,0
Chile,21035,510.0345161290323,0.24838709677419354,1,1
Chile,21036,537.4033333333333,0.9017647058823529,1,1
Chile,21037,523.5161904761904,0.31761904761904763,1,0
Chile,21038,521.9602564102564,0.2741025641025641,1,1
Chile,21039,374.5762857142857,-0.8466666666666667,0,1
Chile,21040,579.7106976744186,0.38395348837209303,0,1
Chile,21041,468.6704347826087,0.4482608695652174,1,0
Chile,21042,478.66473684210524,-0.23210526315789473,0,0
Chile,21043,492.79692307692306,0.105,0,1
Chile,21044,500.41590909090905,-0.8486363636363636,0,0
Chile,21045,542.634761904762,1.6904761904761905,1,0
Chile,21046,488.32774193548386,-0.35354838709677416,1,1
Chile,21047,507.2889473684211,0.4936842105263158,1,1
Chile,21048,407.90615384615387,-0.182,0,1
Chile,21049,467.1785185185185,-0.3611111111111111,0,0
Chile,21050,436.3190243902439,-0.09473684210526317,1,0
Chile,21051,386.6578125,-0.3571875,0,1
Chile,21052,599.9547368421053,1.426111111111111,1,1
Chile,21053,472.723125,-0.115,1,1
Chile,21054,538.4927272727273,1.4566666666666666,1,1
Chile,21055,465.81548387096774,-0.3167741935483871,0,1
Chile,21056,581.4303703703704,1.2144444444444444,1,1
Chile,21057,506.35285714285715,0.07428571428571429,0,0
Chile,21058,580.0446341463414,0.37975,NA,NA
Chile,21059,415.4068,-0.6516,0,1
Chile,21060,529.1984,-0.19720000000000001,0,1
Chile,21061,603.9333333333334,1.6945833333333333,1,1
Chile,21062,536.6824,1.6424,1,1
Chile,21063,422.6815384615385,-0.43842105263157893,NA,NA
Chile,21064,475.9432,-0.009166666666666672,1,1
Chile,21065,496.6145945945946,0.3769444444444444,1,1
Chile,21066,482.9117073170732,0.4775,1,1
Chile,21067,545.065,1.3470833333333334,1,1
Chile,21068,461.5269230769231,-1.1346153846153846,1,0
Chile,21069,539.7397142857143,0.7545714285714286,NA,NA
Chile,21070,484.8426666666667,0.21689655172413794,0,1
Chile,21071,412.81966666666665,-0.6226666666666667,0,1
Chile,21072,451.63142857142856,0.06999999999999999,0,0
Chile,21073,364.158,-0.8805714285714286,1,0
Chile,21074,571.2811363636364,0.7518181818181818,1,1
Chile,21075,569.4566666666667,1.6174074074074074,1,1
Chile,21076,473.2189655172414,-0.2582758620689655,NA,NA
Chile,21077,402.70238095238096,-0.7075,NA,NA
Chile,21078,579.0921739130434,1.7382608695652173,1,1
Chile,21079,483.87243243243245,0.5421621621621622,0,0
Chile,21080,562.4997435897436,0.4158974358974359,0,1
Chile,21081,558.096551724138,1.0106896551724138,1,1
Chile,21082,591.5648648648648,1.3994594594594594,NA,NA
Chile,21083,478.5446153846154,0.03423076923076924,1,1
Chile,21084,484.943,-0.2265,NA,NA
Chile,21085,465.4921052631579,-0.3688888888888889,0,0
Chile,21086,463.55323529411766,-0.1761764705882353,1,1
Chile,21087,592.8112,1.8388,1,1
Chile,21088,413.49117647058824,-0.2888235294117647,1,1
Chile,21089,455.4893548387097,-0.31903225806451613,0,1
Chile,21090,476.2172727272727,-0.48484848484848486,1,0
Chile,21091,487.1520512820513,-0.37236842105263157,1,1
Chile,21092,489.20612903225805,-0.1803225806451613,1,1
Chile,21093,604.5682926829268,0.7978048780487805,0,1
Chile,21094,457.48,-0.538,0,0
Chile,21095,552.192,1.3653333333333333,1,1
Chile,21096,490.0681818181818,-0.10545454545454547,0,1
Chile,21097,381.513,-0.9085,0,1
Chile,21098,470.826,-0.11449999999999999,0,0
Chile,21099,472.2625,-0.289,1,1
Chile,21100,480.25,-1.6583333333333334,0,0
Chile,21101,445.9925,-0.5727777777777778,1,1
Chile,21102,410.755625,-0.8571875,0,1
Chile,21103,519.5432432432433,0.2289189189189189,1,1
Chile,21104,428.474,-0.5,0,0
Chile,21105,356.77714285714285,-0.5046153846153846,0,0
Chile,21106,587.3788,1.6952,1,1
Chile,21107,441.14,-0.6566666666666667,0,0
Chile,21108,484.0261538461539,-0.6834210526315789,1,1
Chile,21109,409.0657142857143,-0.6114285714285714,0,0
Chile,21110,482.70466666666664,0.5556666666666666,1,1
Chile,21111,486.3767741935484,-0.11774193548387098,1,0
Chile,21112,463.27655172413796,-0.5944827586206897,0,0
Chile,21113,415.48105263157896,-0.32611111111111113,0,0
Chile,21114,480.085,-0.39153846153846156,NA,NA
Chile,21115,570.171052631579,0.44973684210526316,0,0
Chile,21116,514.0369565217392,0.13304347826086957,1,0
Chile,21117,380.17040000000003,-0.7404000000000001,0,0
Chile,21118,540.6242857142857,-1.3771428571428572,1,0
Chile,21119,428.93333333333334,-1.065925925925926,0,0
Chile,21120,510.5188636363636,0.4859090909090909,1,1
Chile,21121,561.7385294117647,1.6345454545454545,1,1
Chile,21122,511.3183333333333,0.4255555555555556,1,1
Chile,21123,527.1616666666666,0.12428571428571428,1,1
Chile,21124,495.2923076923077,0.5234615384615384,NA,NA
Chile,21125,458.8793548387097,-0.9858064516129033,0,0
Chile,21126,547.2985185185186,0.44185185185185183,1,1
Chile,21127,422.5471875,-0.621875,0,NA
Chile,21128,438.63166666666666,-0.5833333333333334,0,1
Chile,21129,543.5832352941177,1.2544117647058823,1,0
Chile,21130,431.6373076923077,-0.415,0,1
Chile,21131,434.6563636363636,-0.4322727272727273,1,1
Chile,21132,437.15636363636366,-0.7348484848484849,0,1
Chile,21133,566.8235714285714,1.5839285714285714,1,1
Chile,21134,549.1151515151515,0.6015151515151514,1,0
Chile,21135,514.1584848484848,0.7293939393939394,NA,NA
Chile,21136,476.41675675675674,-0.10027027027027027,1,0
Chile,21137,444.2845454545455,-0.3090909090909091,0,1
Chile,21138,539.1648780487805,0.22439024390243903,1,1
Chile,21139,539.2879545454546,0.6597727272727273,1,1
Chile,21140,476.2821739130435,-0.4608695652173913,0,0
Chile,21141,578.5085714285714,1.286,NA,NA
Chile,21142,570.2395454545455,0.3559090909090909,1,1
Chile,21143,385.85055555555556,-0.6805882352941176,0,0
Chile,21144,557.6969444444444,0.7577777777777778,0,1
Chile,21145,597.984705882353,1.53,1,0
Chile,21146,410.48533333333336,-0.48930232558139536,0,0
Chile,21147,477.1227272727273,-0.08000000000000004,0,1
Chile,21148,535.4806896551725,1.292758620689655,1,0
Chile,21149,500.44761904761907,0.02928571428571429,1,0
Chile,21150,485.14444444444445,-0.14888888888888888,1,0
Chile,21151,397.9292857142857,-0.43785714285714283,0,1
Chile,21152,551.9376923076923,0.9066666666666666,1,1
Chile,21153,463.29136363636366,-0.6468181818181818,0,0
Chile,21154,448.7057894736842,-0.7272222222222222,0,0
Chile,21155,563.7605263157894,1.6605263157894736,NA,NA
Chile,21156,426.2680555555556,-0.37514285714285717,0,0
Chile,21157,494.23900000000003,-1.121,0,0
Chile,21158,514.404375,0.120625,1,1
Chile,21159,574.1946666666666,1.649,1,1
Chile,21160,412.54357142857145,-0.7948148148148149,1,1
Chile,21161,468.5464705882353,0.23147058823529412,1,1
Chile,21162,526.7393103448276,0.6982758620689655,1,1
Chile,21163,502.4459375,-0.1590625,1,1
Chile,21164,518.8810344827587,-0.28793103448275864,1,1
