ge1,ge2,ge3,ge4,ge5,ge6,ses,edu,civ_level,cty
1,1,2,2,1,1,2.5611939579206173,none-tertiary,level 0,CHL
1,1,1,3,1,3,2.1771959290212965,none-tertiary,level 1,CHL
1,1,2,4,2,2,1.8350520506036143,none-tertiary,level 2,CHL
1,1,1,4,4,4,2.986897706099148,none-tertiary,level 2,CHL
1,1,1,4,4,4,2.9656341873799263,none-tertiary,level 2,CHL
1,1,1,4,4,4,3.856999718916482,none-tertiary,level 3,CHL
2,2,2,2,4,4,2.997528653980617,tertiary,level 1,CHL
1,1,1,4,4,4,2.4013024015693425,none-tertiary,level 3,CHL
1,1,1,3,4,4,2.0062282679552967,none-tertiary,level 1,CHL
1,2,1,4,4,4,1.727952241591914,none-tertiary,level 2,CHL
1,1,1,4,4,4,3.4011225592240053,none-tertiary,level 3,CHL
1,1,1,4,4,4,2.379972250435111,none-tertiary,level 2,CHL
1,1,1,4,3,4,2.6890041741308788,none-tertiary,level 2,CHL
1,1,1,4,4,4,2.305295053746036,none-tertiary,level 2,CHL
1,1,1,4,4,4,2.209230561140268,none-tertiary,level 1,CHL
1,1,1,4,4,4,3.369285862440197,none-tertiary,level 1,CHL
1,1,1,4,4,4,3.698065136402141,none-tertiary,level 1,CHL
1,1,1,4,1,3,3.485999725436925,none-tertiary,level 2,CHL
1,1,1,4,4,4,3.2100370786771775,none-tertiary,level 0,CHL
1,1,1,4,4,4,2.305295053746036,none-tertiary,level 2,CHL
1,1,1,3,2,3,1.9848430237555705,none-tertiary,level 0,CHL
1,1,1,4,4,3,3.9311369577282633,tertiary,level 2,CHL
1,2,2,2,1,1,2.486596196879272,none-tertiary,level 1,CHL
1,1,1,1,1,1,1.9527589759479738,none-tertiary,level 0,CHL
1,1,1,3,2,4,1.7172371395868562,none-tertiary,level 1,CHL
1,1,1,4,4,4,2.369306152642361,none-tertiary,level 2,CHL
1,1,2,3,1,1,2.8592836078696826,none-tertiary,level 0,CHL
1,1,1,4,4,4,2.12378986409994,none-tertiary,level 1,CHL
1,1,1,1,4,4,2.081051222466144,none-tertiary,level 1,CHL
4,4,4,4,4,4,2.0062282679552967,none-tertiary,level 1,CHL
1,1,1,4,4,4,2.0062282679552967,none-tertiary,level 2,CHL
1,1,1,3,4,3,2.219907293241243,none-tertiary,level 2,CHL
1,1,1,4,4,4,3.3268302430575916,none-tertiary,level 3,CHL
1,1,2,4,3,3,4.755967350823294,tertiary,level 2,CHL
1,1,1,4,4,4,5.547137924254576,tertiary,level 3,CHL
1,1,1,4,4,3,5.462827477146695,tertiary,level 3,CHL
1,1,1,3,3,3,3.676866576946634,tertiary,level 3,CHL
1,1,1,3,4,4,4.882673498208193,tertiary,level 3,CHL
1,1,1,4,4,3,4.586950569975112,none-tertiary,level 2,CHL
1,1,1,4,4,4,5.431206283893542,tertiary,level 3,CHL
1,1,1,4,4,4,5.547137924254576,tertiary,level 3,CHL
1,1,1,4,1,4,5.547137924254576,tertiary,level 2,CHL
1,1,1,4,4,4,4.438987999215622,tertiary,level 3,CHL
2,3,1,3,4,2,5.26251512708977,tertiary,level 2,CHL
1,1,1,3,4,4,4.998779535160276,tertiary,level 2,CHL
1,1,2,4,4,2,4.502409018841421,tertiary,level 3,CHL
2,3,4,4,4,4,4.6925962755492705,tertiary,level 1,CHL
1,1,1,4,4,3,3.9840798851757313,tertiary,level 1,CHL
1,1,1,4,2,1,3.698065136402141,tertiary,level 2,CHL
1,1,1,3,4,4,5.16759256260568,tertiary,level 2,CHL
1,1,1,4,4,4,5.0198855605575154,tertiary,level 1,CHL
2,2,2,3,3,3,3.8464070325460353,tertiary,level 3,CHL
1,1,1,3,3,2,4.755967350823294,tertiary,level 3,CHL
2,2,2,4,3,3,5.547137924254576,tertiary,level 2,CHL
1,1,1,4,4,4,3.7722464974179246,none-tertiary,level 3,CHL
1,1,2,4,4,4,5.431206283893542,tertiary,level 2,CHL
1,1,1,4,4,4,3.719261960806152,none-tertiary,level 3,CHL
1,1,1,3,3,3,4.6397777164796175,tertiary,level 3,CHL
1,1,1,4,4,2,5.16759256260568,tertiary,level 2,CHL
1,1,1,3,3,3,3.7510539664054483,tertiary,level 2,CHL
2,2,2,3,3,2,4.523546515328017,tertiary,level 3,CHL
1,2,1,4,3,3,3.952315342862221,none-tertiary,level 1,CHL
1,1,1,4,4,4,2.6996510526830617,none-tertiary,level 1,CHL
1,1,1,4,1,4,3.0825570189428335,none-tertiary,level 1,CHL
1,1,1,4,4,4,3.7616504450223407,tertiary,level 2,CHL
1,1,1,4,4,3,4.312106941634466,tertiary,level 3,CHL
2,2,4,4,4,2,2.9762662178940236,none-tertiary,level 2,CHL
1,1,1,4,4,4,4.523546515328017,tertiary,level 2,CHL
1,1,1,4,4,4,3.061303103857383,none-tertiary,level 2,CHL
1,1,1,4,1,2,2.9762662178940236,none-tertiary,level 2,CHL
1,1,1,4,3,3,4.269801482452974,none-tertiary,level 1,CHL
1,1,1,3,4,3,4.290954956532273,tertiary,level 2,CHL
1,1,1,4,4,4,4.396700141394075,none-tertiary,level 1,CHL
1,1,1,4,4,4,2.49725495455006,none-tertiary,level 1,CHL
1,1,1,4,1,1,3.6026578056556,none-tertiary,level 2,CHL
1,1,1,4,3,4,3.560243019860124,tertiary,level 2,CHL
2,2,2,3,3,3,2.486596196879272,none-tertiary,level 2,CHL
2,2,2,3,2,2,3.156929340656705,none-tertiary,level 1,CHL
1,1,1,2,2,2,3.856999718916482,tertiary,level 1,CHL
2,2,3,2,2,1,4.6397777164796175,tertiary,level 0,CHL
1,1,1,4,3,3,4.259224184678671,tertiary,level 3,CHL
1,1,1,4,4,4,3.0825570189428335,none-tertiary,level 3,CHL
1,1,1,4,4,2,4.058183139399441,tertiary,level 2,CHL
1,1,1,4,4,4,4.121684825272964,tertiary,level 1,CHL
1,1,1,3,3,3,1.9206673987661262,none-tertiary,level 2,CHL
2,2,2,3,3,3,2.081051222466144,none-tertiary,level 0,CHL
2,2,1,3,3,3,1.9527589759479738,none-tertiary,level 1,CHL
1,1,1,3,3,3,2.4226298475052794,none-tertiary,level 1,CHL
1,1,1,1,1,1,2.379972250435111,none-tertiary,level 1,CHL
1,1,1,1,1,1,2.0062282679552967,none-tertiary,level 0,CHL
1,1,1,1,1,1,2.635760702049374,none-tertiary,level 0,CHL
1,1,1,4,4,4,2.816727670337554,none-tertiary,level 1,CHL
2,2,3,3,3,3,2.337303732345996,none-tertiary,level 0,CHL
2,2,2,2,2,2,1.1908842016383372,none-tertiary,level 1,CHL
1,1,1,1,1,1,2.0062282679552967,none-tertiary,level 0,CHL
1,1,1,3,1,3,2.933734821911588,none-tertiary,level 0,CHL
2,2,2,3,3,3,2.78480469857312,none-tertiary,level 1,CHL
1,1,1,3,3,4,3.2206571142018205,none-tertiary,level 0,CHL
1,1,1,3,2,3,2.571848227309226,none-tertiary,level 2,CHL
1,1,1,4,1,4,2.933734821911588,none-tertiary,level 0,CHL
2,1,1,4,2,4,1.5671225380127674,none-tertiary,level 0,CHL
1,1,1,3,3,3,1.9848430237555705,none-tertiary,level 1,CHL
1,1,1,3,3,3,1.6743671215171467,none-tertiary,level 2,CHL
2,2,2,3,3,3,2.113106364745307,none-tertiary,level 0,CHL
1,1,1,4,3,3,2.081051222466144,none-tertiary,level 0,CHL
1,1,1,4,4,2,4.4284165761938326,tertiary,level 2,CHL
1,1,1,3,3,3,3.4647832286641442,none-tertiary,level 3,CHL
1,1,1,4,4,4,4.290954956532273,tertiary,level 1,CHL
1,1,1,4,4,4,4.998779535160276,tertiary,level 3,CHL
1,1,3,3,3,2,4.1428489390617305,tertiary,level 3,CHL
1,1,1,4,4,3,3.7934373284636402,tertiary,level 2,CHL
1,1,1,4,4,4,4.037012768180125,none-tertiary,level 2,CHL
1,1,1,4,4,4,4.1428489390617305,tertiary,level 3,CHL
1,2,4,3,1,4,4.618647894014485,tertiary,level 1,CHL
1,1,1,1,2,2,3.517821017231877,tertiary,level 0,CHL
1,1,1,3,3,3,4.998779535160276,tertiary,level 2,CHL
2,2,2,3,3,3,3.29498345592929,none-tertiary,level 3,CHL
1,1,2,4,4,3,4.755967350823294,tertiary,level 1,CHL
1,1,1,3,4,3,2.4759367867645485,none-tertiary,level 2,CHL
2,2,2,3,2,3,2.571848227309226,none-tertiary,level 1,CHL
