"","UnID","IDCNTRY","p_mat","p_len","p_cie","DEPENDENCIA","RURALIDAD","GENERO","EDAD","DQA6IT10_01","DQA6IT10_02","DQA6IT11_01","DQA6IT11_02","DQA6IT11_03","DQA6IT11_04","DQA6IT11_05","DQA6IT11_06","DQA6IT11_07","DQA6IT12_01","DQA6IT12_02","DQA6IT12_03","DQA6IT12_04","DQA6IT12_05","DQA6IT12_06","DQA6IT12_07","DQA6IT12_08","DQA6IT14","DQA6IT17_01","DQA6IT17_02","DQA6IT17_03","DQA6IT17_04","DQA6IT17_05","DQA6IT17_06","DQA6IT17_07","DQA6IT17_08","DQA6IT17_09","DQA6IT17_10","DQA6IT17_11","DQA6IT17_12","DQA6IT17_13","DQA6IT17_14","DQA6IT17_15","DQA6IT17_16","DQA6IT17_17","DQA6IT17_18","DQA6IT17_19","DQA6IT17_20","DQA6IT17_21","DQA6IT17_22","DQA6IT17_23","DQA6IT17_24","DQA6IT17_25","DQA6IT17_26","DQA6IT17_27","DQA6IT17_28","DQA6IT17_29","DQA6IT18","DQA6IT19_01","DQA6IT19_02","DQA6IT19_03","DQA6IT19_04","DQA6IT19_05","DQA6IT19_06"
"347","15261660209",152,809.125587361668,805.359816580475,798.742579493849,"Privada","Urbana","Niña",11,"[CINE-P 6-7-8]","[CINE-P 6-7-8]","Sí","Sí","Sí","No","Sí","Sí","Sí","Uno (1)","Cero (0)","Uno (1)","Uno (1)","Uno (1)","Uno (1)","Dos (2)","Cero (0)","Hay más de 50","A veces","A veces","A veces","Nunca o casi nunca","A veces","Nunca o casi nunca","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","A veces","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Nunca he repetido","No","No","No","No","No","No"
"348","15261380115",152,736.928548663219,673.866863289994,715.91883067435,"Privada","Urbana","Niño",12,"Perdido","Perdido","Sí","Sí","No","Sí","Sí","Sí","Sí","Tres o más (3 o más)","Dos (2)","Dos (2)","Uno (1)","Dos (2)","Uno (1)","Dos (2)","Cero (0)","Hay entre 31 y 50","A veces","A veces","A veces","A veces","Nunca o casi nunca","Nunca o casi nunca","A veces","Siempre o casi siempre","A veces","A veces","A veces","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","Siempre o casi siempre","A veces","Nunca o casi nunca","A veces","Siempre o casi siempre","A veces","Perdido","Sí","Sí","No","No","No","Sí"
"349","15261400111",152,739.289227960425,763.331321493914,730.865360950977,"Privada","Urbana","Niño",12,"Perdido","[CINE-P 1-2]","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Uno (1)","Dos (2)","Uno (1)","Uno (1)","Uno (1)","Cero (0)","Cero (0)","Dos (2)","Hay entre 21 y 30","Siempre o casi siempre","A veces","A veces","Nunca o casi nunca","A veces","Siempre o casi siempre","A veces","A veces","A veces","Nunca o casi nunca","A veces","A veces","A veces","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","A veces","Nunca o casi nunca","A veces","A veces","Siempre o casi siempre","A veces","Siempre o casi siempre","A veces","A veces","A veces","A veces","A veces","Nunca he repetido","No","No","No","No","No","No"
"350","15261320103",152,658.060683075617,757.601364788394,642.289120208361,"Privada","Urbana","Niño",15,"No tiene estudios","Perdido","Sí","Sí","Sí","No","Sí","Sí","No","Tres o más (3 o más)","Cero (0)","Dos (2)","Uno (1)","Uno (1)","Dos (2)","Uno (1)","Cero (0)","No hay libros","Siempre o casi siempre","A veces","Siempre o casi siempre","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","A veces","A veces","Siempre o casi siempre","A veces","Siempre o casi siempre","Nunca he repetido","No","No","No","No","No","No"
"351","15260090102",152,695.410281742729,568.230086876908,732.506338614645,"Publico","Urbana","Niño",13,"[CINE-P 3]","[CINE-P 3]","Sí","Sí","Sí","No","Sí","Sí","Sí","Tres o más (3 o más)","Uno (1)","Tres o más (3 o más)","Uno (1)","Uno (1)","Dos (2)","Dos (2)","Cero (0)","Hay más de 50","A veces","Nunca o casi nunca","Siempre o casi siempre","A veces","A veces","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","A veces","Nunca o casi nunca","Siempre o casi siempre","A veces","A veces","A veces","A veces","A veces","Nunca o casi nunca","Nunca o casi nunca","Siempre o casi siempre","Perdido","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Una vez","Sí","Sí","Sí","Sí","No","No"
"352","15261700123",152,966.020818864017,972.404916702324,1042.1072331922,"Privada","Urbana","Niño",12,"[CINE-P 6-7-8]","[CINE-P 6-7-8]","Sí","Sí","Sí","No","Sí","Sí","Sí","Tres o más (3 o más)","Uno (1)","Uno (1)","Uno (1)","Uno (1)","Uno (1)","Tres o más (3 o más)","Dos (2)","Hay entre 31 y 50","Siempre o casi siempre","A veces","A veces","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","A veces","A veces","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","A veces","Siempre o casi siempre","Nunca he repetido","No","No","No","No","No","No"
"353","15260900105",152,900.243306014754,897.252014371893,913.876239201983,"Privada","Urbana","Niño",12,"[CINE-P 6-7-8]","No sé","Sí","Sí","Sí","No","Sí","Sí","Sí","Dos (2)","Uno (1)","Uno (1)","Uno (1)","Uno (1)","Uno (1)","Uno (1)","Uno (1)","Hay más de 50","A veces","A veces","Siempre o casi siempre","Nunca o casi nunca","A veces","Nunca o casi nunca","A veces","A veces","A veces","A veces","A veces","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","Nunca o casi nunca","A veces","A veces","A veces","A veces","Nunca o casi nunca","A veces","A veces","A veces","Nunca o casi nunca","Nunca he repetido","No","Sí","No","Sí","No","No"
"354","15260690118",152,774.07309766787,726.518530377495,927.950888810507,"Publico","Rural","Niña",13,"[CINE-P 1-2]","[CINE-P 4-5]","Sí","Sí","Sí","No","Sí","Sí","Sí","Dos (2)","Dos (2)","Dos (2)","Uno (1)","Uno (1)","Cero (0)","Dos (2)","Uno (1)","Hay entre 21 y 30","Siempre o casi siempre","A veces","A veces","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Nunca he repetido","No","No","No","No","No","No"
"355","15261410110",152,744.839526945012,698.831227300814,749.224327285214,"Privada","Urbana","Niña",13,"[CINE-P 3]","[CINE-P 1-2]","Sí","Sí","Sí","No","No","No","Sí","Dos (2)","Uno (1)","Uno (1)","Uno (1)","Uno (1)","Cero (0)","Cero (0)","Uno (1)","Hay entre 31 y 50","A veces","Siempre o casi siempre","A veces","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Nunca o casi nunca","A veces","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","A veces","A veces","Siempre o casi siempre","Nunca o casi nunca","A veces","A veces","Nunca he repetido","Sí","Sí","Sí","Sí","Sí","No"
"356","15260800120",152,825.863996733009,792.333010542342,732.934290711769,"Publico","Rural","Niño",12,"[CINE-P 1-2]","No sé","Sí","Sí","Sí","No","No","No","No","Uno (1)","Uno (1)","Cero (0)","Uno (1)","Uno (1)","Perdido","Cero (0)","Cero (0)","Hay entre 11 y 20","A veces","Siempre o casi siempre","A veces","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","A veces","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","A veces","A veces","Siempre o casi siempre","A veces","Dos veces o más","No","No","No","No","No","No"
"357","15261240125",152,868.7581507888,869.013854639774,924.026853924325,"Privada","Urbana","Niña",12,"No sé","No sé","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Tres o más (3 o más)","Dos (2)","Tres o más (3 o más)","Uno (1)","Uno (1)","Uno (1)","Uno (1)","Dos (2)","Hay entre 31 y 50","Siempre o casi siempre","A veces","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","A veces","Nunca o casi nunca","A veces","Nunca o casi nunca","A veces","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","A veces","A veces","Nunca o casi nunca","Nunca o casi nunca","A veces","A veces","A veces","A veces","A veces","Nunca o casi nunca","Nunca he repetido","No","No","No","No","No","No"
"358","15260760103",152,728.898184803912,741.642854517584,683.03117751169,"Publico","Rural","Niño",13,"No sé","No sé","No","No","No","No","No","No","No","Cero (0)","Cero (0)","Cero (0)","Cero (0)","Cero (0)","Cero (0)","Cero (0)","Tres o más (3 o más)","No hay libros","Siempre o casi siempre","Nunca o casi nunca","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Siempre o casi siempre","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","No sé, no recuerdo","No","No","No","Sí","No","Sí"
"359","15261390114",152,720.416838815629,754.584712947235,715.91883067435,"Privada","Urbana","Niña",12,"[CINE-P 4-5]","No sé","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Tres o más (3 o más)","Dos (2)","Tres o más (3 o más)","Dos (2)","Dos (2)","Dos (2)","Dos (2)","Dos (2)","Hay entre 11 y 20","A veces","A veces","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","Nunca he repetido","No","No","No","No","Sí","No"
"360","15261840107",152,792.492246086554,787.895636127489,684.35538453142,"Privada","Rural","Niño",12,"[CINE-P 1-2]","No tiene estudios","Sí","No","No","No","Sí","No","No","Uno (1)","Cero (0)","Cero (0)","Cero (0)","Uno (1)","Uno (1)","Cero (0)","Cero (0)","Hay entre 31 y 50","A veces","Siempre o casi siempre","A veces","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","A veces","Nunca he repetido","No","No","No","No","No","No"
"361","15241140134",152,798.493676630661,834.710937142608,840.774958028732,"Privada","Urbana","Niño",12,"[CINE-P 6-7-8]","[CINE-P 6-7-8]","Sí","Sí","Perdido","Sí","Sí","Sí","Perdido","Tres o más (3 o más)","Cero (0)","Dos (2)","Dos (2)","Uno (1)","Cero (0)","Tres o más (3 o más)","Dos (2)","Hay más de 50","A veces","Siempre o casi siempre","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","A veces","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","A veces","A veces","A veces","A veces","Siempre o casi siempre","Nunca he repetido","No","No","No","No","No","No"
"362","15261390140",152,845.490045409845,972.404916702324,802.106017825931,"Privada","Urbana","Niña",11,"No tiene estudios","[CINE-P 3]","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Tres o más (3 o más)","Dos (2)","Tres o más (3 o más)","Uno (1)","Dos (2)","Cero (0)","Tres o más (3 o más)","Tres o más (3 o más)","Hay entre 31 y 50","Siempre o casi siempre","A veces","A veces","Nunca o casi nunca","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Nunca o casi nunca","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","Nunca o casi nunca","A veces","Siempre o casi siempre","A veces","Siempre o casi siempre","Nunca he repetido","No","No","No","No","No","No"
"363","15260720113",152,780.661072230014,716.985519714093,623.272877631754,"Publico","Rural","Niña",13,"[CINE-P 3]","Perdido","Sí","Sí","Sí","No","No","Sí","Sí","Uno (1)","Uno (1)","Uno (1)","Uno (1)","Uno (1)","Cero (0)","Dos (2)","Uno (1)","Hay entre 31 y 50","A veces","A veces","Siempre o casi siempre","Nunca o casi nunca","Nunca o casi nunca","Nunca o casi nunca","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","A veces","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Siempre o casi siempre","Una vez","No","No","No","No","No","No"
