ge1,ge2,ge3,ge4,ge5,ge6,ses,edu,civ_level,cty
1,1,1,3,3,3,0.79,tertiary,level 2,CHL
2,2,2,3,3,2,1.52,tertiary,level 3,CHL
1,2,1,4,3,3,0.98,none-tertiary,level 1,CHL
1,1,1,4,4,4,-0.2,none-tertiary,level 1,CHL
1,1,1,4,1,4,0.16,none-tertiary,level 1,CHL
1,1,1,4,4,4,0.8,tertiary,level 2,CHL
1,1,1,4,4,3,1.32,tertiary,level 3,CHL
2,2,4,4,4,2,0.06,none-tertiary,level 2,CHL
1,1,1,4,4,4,1.52,tertiary,level 2,CHL
1,1,1,4,4,4,0.14,none-tertiary,level 2,CHL
1,1,1,4,1,2,0.06,none-tertiary,level 2,CHL
1,1,1,4,3,3,1.28,none-tertiary,level 1,CHL
1,1,1,3,4,3,1.3,tertiary,level 2,CHL
1,1,1,4,4,4,1.4,none-tertiary,level 1,CHL
1,1,1,4,4,4,-0.39,none-tertiary,level 1,CHL
1,1,1,4,1,1,0.65,none-tertiary,level 2,CHL
1,1,1,4,3,4,0.61,tertiary,level 2,CHL
2,2,2,3,3,3,-0.4,none-tertiary,level 2,CHL
2,2,2,3,2,2,0.23,none-tertiary,level 1,CHL
1,1,1,2,2,2,0.89,tertiary,level 1,CHL
2,2,3,2,2,1,1.63,tertiary,level 0,CHL
1,1,1,4,3,3,1.27,tertiary,level 3,CHL
1,1,1,4,4,4,0.16,none-tertiary,level 3,CHL
1,1,1,4,4,2,1.08,tertiary,level 2,CHL
1,1,1,4,4,4,1.14,tertiary,level 1,CHL
1,1,1,3,3,3,-0.93,none-tertiary,level 2,CHL
2,2,2,3,3,3,-0.78,none-tertiary,level 0,CHL
2,2,1,3,3,3,-0.9,none-tertiary,level 1,CHL
1,1,1,3,3,3,-0.46,none-tertiary,level 1,CHL
1,1,1,1,1,1,-0.5,none-tertiary,level 1,CHL
1,1,1,1,1,1,-0.85,none-tertiary,level 0,CHL
1,1,1,1,1,1,-0.26,none-tertiary,level 0,CHL
1,1,1,4,4,4,-0.09,none-tertiary,level 1,CHL
2,2,3,3,3,3,-0.54,none-tertiary,level 0,CHL
2,2,2,2,2,2,-1.61,none-tertiary,level 1,CHL
1,1,1,1,1,1,-0.85,none-tertiary,level 0,CHL
1,1,1,3,1,3,0.02,none-tertiary,level 0,CHL
2,2,2,3,3,3,-0.12,none-tertiary,level 1,CHL
1,1,1,3,3,4,0.29,none-tertiary,level 0,CHL
1,1,1,3,2,3,-0.32,none-tertiary,level 2,CHL
1,1,1,4,1,4,0.02,none-tertiary,level 0,CHL
2,1,1,4,2,4,-1.26,none-tertiary,level 0,CHL
1,1,1,3,3,3,-0.87,none-tertiary,level 1,CHL
1,1,1,3,3,3,-1.16,none-tertiary,level 2,CHL
2,2,2,3,3,3,-0.75,none-tertiary,level 0,CHL
1,1,1,4,3,3,-0.78,none-tertiary,level 0,CHL
1,1,1,4,4,2,1.43,tertiary,level 2,CHL
1,1,1,3,3,3,0.52,none-tertiary,level 3,CHL
1,1,1,4,4,4,1.3,tertiary,level 1,CHL
1,1,1,4,4,4,1.97,tertiary,level 3,CHL
1,1,3,3,3,2,1.16,tertiary,level 3,CHL
1,1,1,4,4,3,0.83,tertiary,level 2,CHL
1,1,1,4,4,4,1.06,none-tertiary,level 2,CHL
1,1,1,4,4,4,1.16,tertiary,level 3,CHL
1,2,4,3,1,4,1.61,tertiary,level 1,CHL
1,1,1,1,2,2,0.57,tertiary,level 0,CHL
1,1,1,3,3,3,1.97,tertiary,level 2,CHL
2,2,2,3,3,3,0.36,none-tertiary,level 3,CHL
1,1,2,4,4,3,1.74,tertiary,level 1,CHL
1,1,1,3,4,3,-0.41,none-tertiary,level 2,CHL
2,2,2,3,2,3,-0.32,none-tertiary,level 1,CHL
2,1,1,3,2,3,0.23,none-tertiary,level 1,CHL
1,1,1,4,4,4,0.48,none-tertiary,level 3,CHL
1,1,1,4,4,4,0.97,none-tertiary,level 2,CHL
1,1,1,4,4,3,1.16,tertiary,level 3,CHL
1,1,1,3,3,2,1.06,none-tertiary,level 1,CHL
1,1,3,2,1,1,2.13,tertiary,level 0,CHL
1,1,1,4,4,3,1.07,tertiary,level 3,CHL
1,1,1,4,4,3,1.03,none-tertiary,level 2,CHL
1,1,1,4,3,4,0.14,none-tertiary,level 2,CHL
1,1,3,3,1,1,-1.57,none-tertiary,level 0,CHL
1,1,1,1,1,1,-1.42,none-tertiary,level 1,CHL
1,1,1,4,4,4,-1.74,none-tertiary,level 2,CHL
1,1,1,4,4,4,-0.32,none-tertiary,level 2,CHL
1,1,1,4,4,4,-0.56,none-tertiary,level 3,CHL
1,2,1,4,4,4,-0.71,none-tertiary,level 2,CHL
1,1,1,4,4,4,0.35,none-tertiary,level 3,CHL
1,1,1,4,4,4,-0.06,none-tertiary,level 3,CHL
1,1,1,4,4,4,-1.66,none-tertiary,level 2,CHL
1,2,1,3,3,3,-1.8,none-tertiary,level 1,CHL
1,1,1,4,4,4,-1.08,none-tertiary,level 2,CHL
1,1,2,3,3,3,-0.43,none-tertiary,level 1,CHL
1,2,1,1,2,1,-1.91,none-tertiary,level 0,CHL
2,1,1,4,4,4,-0.67,none-tertiary,level 2,CHL
2,1,2,4,3,1,-1.36,none-tertiary,level 2,CHL
1,1,1,4,4,4,-0.62,none-tertiary,level 2,CHL
1,1,1,1,1,1,-0.89,none-tertiary,level 0,CHL
1,1,1,4,1,4,0.27,none-tertiary,level 0,CHL
1,3,3,3,3,3,-1.09,none-tertiary,level 0,CHL
3,2,3,4,1,2,-0.71,none-tertiary,level 1,CHL
1,1,1,4,3,4,-0.98,none-tertiary,level 1,CHL
1,1,1,2,2,2,0.1,none-tertiary,level 1,CHL
1,1,1,3,3,1,1.22,tertiary,level 1,CHL
1,1,1,4,4,4,1.8,tertiary,level 1,CHL
2,2,1,3,3,3,-1.06,none-tertiary,level 2,CHL
1,1,1,3,3,4,-1.91,none-tertiary,level 2,CHL
1,1,1,4,4,4,1.21,tertiary,level 3,CHL
1,1,1,3,2,1,0.78,none-tertiary,level 1,CHL
1,1,1,3,3,3,0.99,tertiary,level 1,CHL
1,1,1,4,4,4,1.52,tertiary,level 3,CHL
1,1,1,4,4,4,0.74,tertiary,level 2,CHL
1,1,1,4,4,1,-0.09,none-tertiary,level 2,CHL
1,1,1,4,3,4,-0.09,none-tertiary,level 1,CHL
1,1,1,4,4,4,0.8,tertiary,level 3,CHL
