id,idcntry,mat,len,cie,dep,rur,sex,age,edm,edp,s01,s02,s03,s04,s05,s06,s07,b01,b02,b03,b04,b05,b06,b07,b08,bok,am1,am2,am3,as1,as2,as3,re1,re2,re3,re4,re5,re6,re7,ma1,ma2,ma3,ma4,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,rep,v01,v02,v03,v04,v05,v06
15261320104,152,669.315890989793,673.866863289994,715.91883067435,1,0,0,12,2,2,1,1,1,0,1,0,1,3,1,1,1,1,0,0,2,6,2,2,2,2,1,1,3,3,3,2,2,3,2,2,3,3,2,2,2,3,3,2,3,2,2,2,2,3,2,1,0,0,0,0,0,0
15260180220,152,696.479553042866,811.726714003948,798.742579493849,0,0,0,12,5,6,1,1,1,1,1,1,0,3,2,3,1,1,NA,3,1,3,2,3,2,1,1,1,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,2,2,3,2,1,2,2,0,0,0,0,0,0
15260150110,152,703.730029578287,686.884228713883,696.076945443166,0,0,0,12,NA,2,1,1,1,0,1,0,1,2,1,1,1,1,1,2,1,5,2,2,2,2,1,1,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3,3,2,2,3,1,0,0,0,0,0,0
15261080218,152,828.651924839791,697.194336906713,824.852634341359,1,0,1,12,5,5,1,1,1,1,1,1,1,2,1,3,2,1,NA,NA,2,6,3,2,1,1,2,1,2,1,2,2,3,3,3,NA,2,2,3,2,1,2,3,3,2,3,2,3,2,NA,NA,1,0,0,0,0,0,0
15260130136,152,692.268326542332,501.974767079028,663.723741187988,0,0,1,13,3,2,1,1,1,1,0,0,1,1,0,1,1,1,2,0,0,5,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,3,0,0,0,0,0,0
15260360204,152,754.693126603347,734.159620207333,730.865360950977,0,0,0,12,2,2,1,1,1,1,1,1,1,2,1,1,1,2,0,2,1,3,2,2,2,1,1,1,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,2,2,2,3,3,3,3,1,1,0,1,0,0,0
15260820136,152,758.481775739456,833.132483220304,824.852634341359,0,1,1,12,2,6,1,1,1,0,0,0,1,3,2,1,1,1,3,2,2,6,3,2,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,2,3,3,2,1,0,0,0,0,0,0
15261550111,152,695.410281742729,829.873710286403,753.317023249181,1,0,1,13,4,3,1,1,1,1,1,1,1,3,2,2,1,1,1,2,2,3,2,3,1,1,2,1,3,2,3,2,3,2,3,3,3,2,1,2,3,2,3,2,3,2,3,2,3,3,2,1,0,1,0,0,1,0
15261750331,152,736.928548663219,740.260577341231,793.59660449715,1,0,1,12,6,6,1,1,0,1,1,1,1,3,3,3,1,1,0,3,2,6,3,2,1,2,2,2,1,1,1,1,2,2,1,1,1,2,2,1,2,2,1,1,1,2,1,1,2,1,3,1,0,0,0,0,0,0
15260820101,152,703.730029578287,819.979720118117,754.755959887372,0,1,1,12,2,2,1,1,0,0,1,1,1,3,1,1,1,1,2,3,0,5,3,2,2,1,2,2,3,3,3,2,2,3,3,3,3,3,2,3,2,3,3,3,3,2,2,3,3,2,2,1,0,0,0,0,0,0
