FOLIO,IDG1,IDG2,IGD3,IDG4,ID5,SV,ACT1,ACT2,ACT3,ACT4,ACT5,DIS1,DIS2,DIS3,DIS4,DIS5,AM1,AM2,AM3,AM4,AM5,C1,C2,C3,C4,C5,EN1,EN2,EN3,EN4,EN5,EP1,EP2,EP3,EP4,EP5,AC1,AC2,AC3,AC4,AC5,AC6,AC7,AC8,AC9,AC10,AC11,SEXO,EDAD,NIVED,ESTCIV,PP,PO,ING,REL,FREL
1438,4,4,2,2,4,8,4,4,4,4,4,5,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,3,2,2,2,2,2,2,1,2,2,2,2,2,19,8,3,5,10, ,9, 
1439,4,4,2,4,4,10,1,1,1,1,1,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2, , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,63,2,1,5,10, ,2,6
1440,4,4,2,4,4,6,3,3,3,3,3,5,5,5,1,5,2,2,3,4,4,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,67,1,2,5,10, ,1,6
2381,2,4,2,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,1,1,1,1,1,4,4,4,4,4,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,58,7,1,10,10, ,8,3
2382,1,1,1,5,2,10,2,3,5,2,3,5,2,1,5,5,1,1,1,1,1,1,1,1,1,1,3,1,1,4,2,4,2,5,2,5,1,2,2,2,2,2,2,2,2,2,2,2,30,9,9,10,10, ,4,6
2383,4,4,2,4,4,7,5,5,5,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,36,10,1,8,10,12,1,5
1451,4,3,1,5,5,5,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,2,1,1,1,1, ,1,1,1,4,3,3,4,4,2,2,2,2,2,2,1,2,2,2,2,2,36,5,1,99,10, ,2,7
1452,4,4,1,5,5,6,3,3,1,4,4,4,4,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,67,2,1,99,10, ,1,9
1453,4,4,2,4,4,10,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1,45,1,3,1,10, ,11, 
1454,4,4,2,4,4,7,3,4,3,3,3,3,3,9,4,5,3,4,5,5,5,1,1,1,1,1,1,1,1,1,1,4,4,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,51,2,3,10,10, ,1,1
1455,4,4,2,4,4,1,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,63,3,1,99,10, ,9, 
1456,5,4,1,4,4,7,4,3,4,3,3,5,5,9,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,4,4,4,1,2,2,2,2,2,1,2,2,2,2,2,19,4,3,4,10, ,1,1
