ID,affo1,affo2,affo3,outt1,outt2,outt3,famn1,famn2,famn3,clan1,clan2,clan3,natic1,natic2,natic3,idma1,idma2,idma3,qous1,qous2,qous3,qous4,qous5,goufr,ethnia,sex,region,age
134,5,6,6,5,6,1,7,7,6,7,7,6,5,6,7,7,5,6,5,6,1,7,-99,10,MAP,1,2,14
135,4,5,5,5,5,3,6,5,5,4,4,4,6,7,7,6,-99,5,4,7,7,6,5,10,MAP,2,2,15
136,5,3,4,4,-99,5,5,4,4,3,3,4,7,-99,7,5,4,-99,5,5,6,-99,5,3,MAP,1,2,15
137,4,4,4,4,-99,4,4,3,4,4,4,4,3,3,2,4,4,5,4,4,4,4,4,0,MAP,1,2,14
138,5,3,5,5,7,1,7,7,5,7,4,5,3,3,7,5,3,5,4,-99,1,2,2,7,MAP,2,2,14
139,6,1,2,5,6,2,2,4,3,1,2,3,1,1,1,7,7,7,4,2,1,7,4,3,MAP,2,2,14
140,4,3,5,3,4,3,2,2,1,2,2,2,5,-99,5,4,-99,3,2,2,4,4,4,10,MAP,2,2,14
141,7,7,5,7,1,7,-99,3,3,3,4,3,4,7,7,4,-99,-99,3,5,2,6,-99,10,MAP,2,2,14
142,7,4,6,5,4,6,6,-99,6,6,-99,5,6,5,7,7,7,7,4,2,4,5,5,9,MAP,2,2,15
143,2,1,2,3,2,1,6,4,7,3,7,3,4,2,3,7,7,6,7,7,7,7,7,10,MAP,2,2,16
144,7,-99,7,6,7,4,7,7,6,6,7,5,7,6,7,6,5,5,3,5,5,-99,6,5,MAP,1,2,15
145,6,3,3,1,6,5,3,3,3,3,-99,3,2,2,2,1,1,2,3,2,2,3,1,1,MAP,1,2,14
146,6,1,3,-99,3,3,4,4,4,4,4,4,2,2,7,7,4,-99,1,1,-99,-99,3,10,MAP,1,1,15
147,7,4,7,7,1,-99,4,3,1,1,4,4,6,6,7,-99,1,1,5,6,7,7,7,10,MAP,2,2,16
148,7,4,5,4,2,6,1,1,1,1,1,1,7,7,7,1,1,1,7,4,7,7,7,10,MAP,1,2,14
149,7,7,7,4,6,5,3,3,3,3,3,3,3,3,7,3,4,3,7,7,7,7,7,-99,MAP,2,1,15
150,6,6,5,5,4,4,6,6,4,4,5,1,4,4,4,6,5,-99,3,5,6,6,6,-99,MAP,2,2,14
151,7,-99,5,6,2,4,6,5,4,6,6,6,6,6,-99,-99,6,6,-99,6,7,6,6,10,MAP,1,2,15
152,6,6,6,6,6,5,7,7,7,7,7,7,7,7,7,-99,7,7,6,7,6,-99,6,10,MAP,2,2,14
153,6,-99,5,4,6,5,7,6,6,7,6,4,-99,7,7,4,-99,4,7,7,-99,7,7,-99,MAP,2,2,14
154,6,1,4,1,2,1,4,6,5,6,7,5,6,7,7,4,3,5,7,-99,7,6,7,10,MAP,1,2,16
155,5,4,4,5,4,4,5,4,4,4,4,4,5,6,7,7,5,6,3,4,4,4,4,9,MAP,1,2,15
156,4,-99,3,4,4,4,3,4,3,3,3,3,2,4,3,4,4,4,3,4,3,3,3,4,MAP,1,2,15
